CATION_ANION TEMP PRESSURE xCO2
C0505_A0020 323.15  0.00 0.0000
C0505_A0020 323.15  0.01 0.0002
C0505_A0020 323.15  0.05 0.0007
C0505_A0020 323.15  0.10 0.0013
C0505_A0020 323.15  0.50 0.0059
C0505_A0020 323.15  1.00 0.0117
C0505_A0020 323.15  2.50 0.0261
C0505_A0020 323.15  4.00 0.0443
C0505_A0020 323.15  5.50 0.0577
C0505_A0020 323.15  7.00 0.0738
C0505_A0020 323.15  8.50 0.0847
C0505_A0020 323.15  10.00 0.1010
C0505_A0020 323.15  11.00 0.1070
C0505_A0020 323.15  12.00 0.1160
C0505_A0020 323.15  13.00 0.1250
C0505_A0020 323.15  13.00 0.1250
C0505_A0020 323.15  11.00 0.1050
C0505_A0020 323.15  9.00 0.0901
C0505_A0020 323.15  6.00 0.0627
C0505_A0020 323.15  0.00 0.0000
C0505_A0020 323.15  0.05 0.0003
C0505_A0020 323.15  0.10 0.0008
C0505_A0020 323.15  0.50 0.0050
C0505_A0020 323.15  1.00 0.0104
C0505_A0020 323.15  2.50 0.0256
C0505_A0020 323.15  4.00 0.0410
C0505_A0020 323.15  5.50 0.0573
C0505_A0020 323.15  7.00 0.0722
C0505_A0020 323.15  8.49 0.0867
C0505_A0020 323.15  9.99 0.0992
C0505_A0020 323.15  11.00 0.1080
C0505_A0020 323.15  12.00 0.1170
C0505_A0020 323.15  13.00 0.1230
C0505_A0020 323.15  13.00 0.1230
C0505_A0020 323.15  11.00 0.1100
C0505_A0020 323.15  6.00 0.0664
C0505_A0020 328.14  11.43 0.1022
C0505_A0020 333.16  12.39 0.1022
C0505_A0020 338.16  13.44 0.1022
C0505_A0020 343.14  14.38 0.1022
C0505_A0020 348.12  15.39 0.1022
C0505_A0020 353.16  16.64 0.1022
C0505_A0020 358.17  17.69 0.1022
C0505_A0020 363.16  18.75 0.1022
C0505_A0020 368.14  19.89 0.1022
C0505_A0020 293.13  5.87 0.1022
C0505_A0020 298.14  6.59 0.1022
C0505_A0020 303.15  7.40 0.1022
C0505_A0020 308.15  8.03 0.1022
C0505_A0020 313.19  8.85 0.1022
C0505_A0020 318.11  9.68 0.1022
C0505_A0020 323.11  10.44 0.1022
C0505_A0020 293.17  12.43 0.1998
C0505_A0020 298.17  13.88 0.1998
C0505_A0020 303.19  15.42 0.1998
C0505_A0020 308.19  17.10 0.1998
C0505_A0020 313.15  18.86 0.1998
C0505_A0020 318.12  20.74 0.1998
C0505_A0020 323.15  22.69 0.1998
C0505_A0020 328.12  24.66 0.1998
C0505_A0020 333.18  26.86 0.1998
C0505_A0020 338.12  29.09 0.1998
C0505_A0020 343.13  31.37 0.1998
C0505_A0020 348.15  33.78 0.1998
C0505_A0020 353.16  36.29 0.1998
C0505_A0020 358.16  38.84 0.1998
C0505_A0020 363.16  41.50 0.1998
C0505_A0020 368.22  44.18 0.1998
C0505_A0020 278.53  15.47 0.3035
C0505_A0020 283.61  17.42 0.3035
C0505_A0020 288.47  19.57 0.3035
C0505_A0020 293.50  21.92 0.3035
C0505_A0020 298.47  24.47 0.3035
C0505_A0020 303.40  27.22 0.3035
C0505_A0020 308.36  30.12 0.3035
C0505_A0020 313.39  33.32 0.3035
C0505_A0020 318.28  36.67 0.3035
C0505_A0020 323.16  40.02 0.3035
C0505_A0020 328.12  43.67 0.3035
C0505_A0020 332.82  47.57 0.3035
C0505_A0020 337.75  51.57 0.3035
C0505_A0020 342.73  55.77 0.3035
C0505_A0020 347.95  60.27 0.3035
C0505_A0020 353.11  65.12 0.3035
C0505_A0020 357.96  70.12 0.3035
C0505_A0020 362.91  75.22 0.3035
C0505_A0020 367.96  80.47 0.3035
C0505_A0020 278.68  22.33 0.4005
C0505_A0020 283.52  25.08 0.4005
C0505_A0020 288.51  28.38 0.4005
C0505_A0020 293.33  31.98 0.4005
C0505_A0020 298.15  35.73 0.4005
C0505_A0020 303.11  39.93 0.4005
C0505_A0020 308.10  44.58 0.4005
C0505_A0020 313.00  49.53 0.4005
C0505_A0020 318.13  55.13 0.4005
C0505_A0020 323.22  60.98 0.4005
C0505_A0020 328.12  67.03 0.4005
C0505_A0020 333.19  73.43 0.4005
C0505_A0020 338.28  80.53 0.4005
C0505_A0020 343.12  87.48 0.4005
C0505_A0020 348.08  94.73 0.4005
C0505_A0020 352.82  102.33 0.4005
C0505_A0020 357.69  110.63 0.4005
C0505_A0020 363.02  119.68 0.4005
C0505_A0020 367.92  128.88 0.4005
C0505_A0020 278.47  29.26 0.4825
C0505_A0020 283.39  33.46 0.4825
C0505_A0020 288.55  38.01 0.4825
C0505_A0020 293.32  43.01 0.4825
C0505_A0020 298.28  48.61 0.4825
C0505_A0020 303.16  54.96 0.4825
C0505_A0020 308.16  62.06 0.4825
C0505_A0020 313.27  70.46 0.4825
C0505_A0020 318.16  79.31 0.4825
C0505_A0020 323.10  89.21 0.4825
C0505_A0020 327.99  100.71 0.4825
C0505_A0020 333.10  114.06 0.4825
C0505_A0020 338.17  128.56 0.4825
C0505_A0020 313.12  144.40 0.5507
C0505_A0020 318.07  174.60 0.5507
C0505_A0020 322.95  202.20 0.5507
C0505_A0020 327.96  230.60 0.5507
C0505_A0020 332.94  261.20 0.5507
C0505_A0020 337.86  284.60 0.5507
C0505_A0020 342.78  311.20 0.5507
C0505_A0020 347.66  338.20 0.5507
C0505_A0020 352.69  365.80 0.5507
C0505_A0020 357.90  388.60 0.5507
C0505_A0020 332.85  502.40 0.6017
C0505_A0020 337.85  537.00 0.6017
C0505_A0020 342.94  567.40 0.6017
C0505_A0020 347.98  594.60 0.6017
C0505_A0020 352.77  621.60 0.6017
C0505_A0020 357.71  648.20 0.6017
C0505_A0020 362.58  676.20 0.6017
C0505_A0020 313.12  365.80 0.6017
C0505_A0020 318.08  396.60 0.6017
C0505_A0020 322.94  432.40 0.6017
C0505_A0020 327.91  467.20 0.6017
C0505_A0020 282.75  0.10 0.0020
C0505_A0020 282.95  0.50 0.0130
C0505_A0020 283.05  1.00 0.0260
C0505_A0020 283.05  4.00 0.0960
C0505_A0020 283.05  10.00 0.2160
C0505_A0020 283.05  13.00 0.2650
C0505_A0020 283.05  20.00 0.3640
C0505_A0020 283.15  15.00 0.2950
C0505_A0020 283.25  7.00 0.1590
C0505_A0020 297.95  0.10 0.0020
C0505_A0020 297.95  10.00 0.1580
C0505_A0020 297.95  15.00 0.2210
C0505_A0020 298.05  1.00 0.0190
C0505_A0020 298.05  20.00 0.2770
C0505_A0020 298.15  0.50 0.0100
C0505_A0020 298.15  4.00 0.0690
C0505_A0020 298.15  7.00 0.1160
C0505_A0020 298.15  13.00 0.1970
C0505_A0020 323.15  0.50 0.0060
C0505_A0020 323.15  1.00 0.0120
C0505_A0020 323.15  4.00 0.0440
C0505_A0020 323.15  7.00 0.0730
C0505_A0020 323.15  10.00 0.1000
C0505_A0020 323.15  13.00 0.1270
C0505_A0020 323.15  15.00 0.1430
C0505_A0020 323.15  20.00 0.1820
C0505_A0020 323.25  0.10 0.0030
C0505_A0020 347.95  10.00 0.0710
C0505_A0020 348.05  1.00 0.0070
C0505_A0020 348.05  4.00 0.0300
C0505_A0020 348.05  20.00 0.1330
C0505_A0020 348.15  0.10 0.0020
C0505_A0020 348.15  0.50 0.0030
C0505_A0020 348.15  7.00 0.0510
C0505_A0020 348.15  13.00 0.0890
C0505_A0020 348.15  15.00 0.1030
C0505_A0020 303.93  0.22 0.0159
C0505_A0020 343.83  0.26 0.0079
C0505_A0020 303.90  0.77 0.0160
C0505_A0020 303.38  0.78 0.0162
C0505_A0020 313.99  0.80 0.0133
C0505_A0020 324.18  0.82 0.0110
C0505_A0020 323.19  0.85 0.0113
C0505_A0020 324.06  0.86 0.0110
C0505_A0020 334.15  0.89 0.0095
C0505_A0020 342.96  0.91 0.0082
C0505_A0020 344.27  0.92 0.0081
C0505_A0020 307.55  17.50 0.1896
C0505_A0020 307.55  27.40 0.2732
C0505_A0020 307.55  34.30 0.3178
C0505_A0020 307.55  40.00 0.3516
C0505_A0020 307.55  44.00 0.3764
C0505_A0020 307.55  53.30 0.4182
C0505_A0020 307.55  57.70 0.4451
C0505_A0020 307.55  65.50 0.4738
C0505_A0020 307.55  69.80 0.4915
C0505_A0020 307.55  78.30 0.5139
C0505_A0020 312.45  18.50 0.1798
C0505_A0020 312.45  29.10 0.2621
C0505_A0020 312.45  36.30 0.3115
C0505_A0020 312.45  42.00 0.3410
C0505_A0020 312.45  46.30 0.3642
C0505_A0020 312.45  56.10 0.4081
C0505_A0020 312.45  61.00 0.4328
C0505_A0020 312.45  69.10 0.4624
C0505_A0020 312.45  73.50 0.4773
C0505_A0020 312.45  81.80 0.4973
C0505_A0020 317.45  19.70 0.1764
C0505_A0020 317.45  30.80 0.2478
C0505_A0020 317.45  38.40 0.3013
C0505_A0020 317.45  44.00 0.3277
C0505_A0020 317.45  48.30 0.3516
C0505_A0020 317.45  58.70 0.3947
C0505_A0020 317.45  63.90 0.4172
C0505_A0020 317.45  72.40 0.4460
C0505_A0020 317.45  77.50 0.4588
C0505_A0020 317.45  86.20 0.4866
C0505_A0020 322.15  20.80 0.1714
C0505_A0020 322.15  32.50 0.2391
C0505_A0020 322.15  40.50 0.2841
C0505_A0020 322.15  46.00 0.3077
C0505_A0020 322.15  50.60 0.3277
C0505_A0020 322.15  61.40 0.3840
C0505_A0020 322.15  67.20 0.4020
C0505_A0020 322.15  75.60 0.4357
C0505_A0020 322.15  81.00 0.4460
C0505_A0020 322.15  90.00 0.4712
C0505_A0020 298.20  0.10 0.0010
C0505_A0020 298.20  0.50 0.0100
C0505_A0020 298.10  1.00 0.0190
C0505_A0020 298.20  4.00 0.0690
C0505_A0020 298.20  7.00 0.1150
C0505_A0020 298.00  10.00 0.1580
C0505_A0020 298.20  13.00 0.1970
C0505_A0020 298.00  15.00 0.2210
C0505_A0020 298.10  20.00 0.2770
C0505_A0020 293.25  10.50 0.1410
C0505_A0020 303.35  12.00 0.1410
C0505_A0020 313.25  13.90 0.1410
C0505_A0020 323.15  15.80 0.1410
C0505_A0020 333.15  17.80 0.1410
C0505_A0020 343.15  20.30 0.1410
C0505_A0020 353.25  24.10 0.1410
C0505_A0020 363.15  27.20 0.1410
C0505_A0020 373.15  30.30 0.1410
C0505_A0020 383.15  38.00 0.1410
C0505_A0020 293.75  19.00 0.2660
C0505_A0020 303.45  23.30 0.2660
C0505_A0020 313.25  28.20 0.2660
C0505_A0020 323.05  34.00 0.2660
C0505_A0020 333.05  40.00 0.2660
C0505_A0020 343.15  46.90 0.2660
C0505_A0020 353.15  54.20 0.2660
C0505_A0020 362.95  62.10 0.2660
C0505_A0020 373.45  71.50 0.2660
C0505_A0020 383.15  80.50 0.2660
C0505_A0020 293.45  25.20 0.3500
C0505_A0020 303.75  32.00 0.3500
C0505_A0020 313.45  38.90 0.3500
C0505_A0020 322.65  47.20 0.3500
C0505_A0020 332.85  56.10 0.3500
C0505_A0020 342.75  64.30 0.3500
C0505_A0020 352.25  79.10 0.3500
C0505_A0020 363.15  90.00 0.3500
C0505_A0020 373.15  98.00 0.3500
C0505_A0020 383.15  117.00 0.3500
C0505_A0020 293.65  41.00 0.4580
C0505_A0020 303.15  49.30 0.4580
C0505_A0020 314.05  63.50 0.4580
C0505_A0020 322.95  75.30 0.4580
C0505_A0020 333.95  91.00 0.4580
C0505_A0020 343.75  104.90 0.4580
C0505_A0020 354.25  125.00 0.4580
C0505_A0020 362.85  141.50 0.4580
C0505_A0020 373.15  160.00 0.4580
C0505_A0020 382.95  185.00 0.4580
C0505_A0020 293.15  47.20 0.5000
C0505_A0020 303.85  59.80 0.5000
C0505_A0020 313.85  74.30 0.5000
C0505_A0020 324.15  89.70 0.5000
C0505_A0020 333.35  105.90 0.5000
C0505_A0020 343.45  125.70 0.5000
C0505_A0020 352.05  145.00 0.5000
C0505_A0020 357.15  154.00 0.5000
C0505_A0020 363.15  171.00 0.5000
C0505_A0020 373.15  198.00 0.5000
C0505_A0020 383.15  235.00 0.5000
C0505_A0020 293.25  73.00 0.6100
C0505_A0020 303.15  81.00 0.6100
C0505_A0020 313.35  105.00 0.6100
C0505_A0020 323.55  141.00 0.6100
C0505_A0020 333.15  162.00 0.6100
C0505_A0020 343.15  188.50 0.6100
C0505_A0020 353.15  223.30 0.6100
C0505_A0020 363.15  246.00 0.6100
C0505_A0020 298.15  6.50 0.1049
C0505_A0020 298.15  13.00 0.1759
C0505_A0020 298.15  21.30 0.2700
C0505_A0020 298.15  31.40 0.3618
C0505_A0020 298.15  40.60 0.4278
