CATION_ANION TEMP PRESSURE xCO2
C0190_A0048 314.05  21.80 0.4079
C0190_A0048 324.15  26.50 0.4079
C0190_A0048 334.35  32.00 0.4079
C0190_A0048 344.55  37.20 0.4079
C0190_A0048 303.85  22.80 0.4646
C0190_A0048 314.05  26.80 0.4646
C0190_A0048 324.15  33.20 0.4646
C0190_A0048 334.35  39.50 0.4646
C0190_A0048 344.55  46.00 0.4646
C0190_A0048 303.85  31.20 0.5568
C0190_A0048 314.05  36.50 0.5568
C0190_A0048 324.15  45.50 0.5568
C0190_A0048 334.35  55.00 0.5568
C0190_A0048 344.55  66.00 0.5568
C0190_A0048 303.85  39.20 0.6202
C0190_A0048 314.05  47.00 0.6202
C0190_A0048 324.15  57.00 0.6202
C0190_A0048 334.35  71.80 0.6202
C0190_A0048 344.55  84.20 0.6202
C0190_A0048 303.85  42.00 0.6457
C0190_A0048 314.05  51.00 0.6457
C0190_A0048 324.15  63.00 0.6457
C0190_A0048 334.35  77.00 0.6457
C0190_A0048 344.55  90.00 0.6457
C0190_A0048 303.85  45.50 0.6681
C0190_A0048 314.05  55.50 0.6681
C0190_A0048 324.15  69.00 0.6681
C0190_A0048 334.35  84.50 0.6681
C0190_A0048 344.55  100.00 0.6681
C0190_A0048 303.85  51.00 0.7043
C0190_A0048 314.05  62.00 0.7043
C0190_A0048 324.15  79.00 0.7043
C0190_A0048 334.35  99.00 0.7043
C0190_A0048 344.55  120.00 0.7043
C0190_A0048 303.85  54.00 0.7191
C0190_A0048 314.05  67.00 0.7191
C0190_A0048 324.15  86.00 0.7191
C0190_A0048 334.35  108.00 0.7191
C0190_A0048 344.55  132.00 0.7191
C0190_A0048 303.85  58.00 0.7315
C0190_A0048 314.05  72.50 0.7315
C0190_A0048 324.15  94.00 0.7315
C0190_A0048 334.35  116.00 0.7315
C0190_A0048 344.55  144.50 0.7315
C0190_A0048 303.85  60.00 0.7435
C0190_A0048 314.05  78.00 0.7435
C0190_A0048 324.15  101.00 0.7435
C0190_A0048 334.35  130.00 0.7435
C0190_A0048 344.55  160.00 0.7435
C0190_A0048 303.85  64.80 0.7657
C0190_A0048 314.05  86.20 0.7657
C0190_A0048 324.15  120.00 0.7657
C0190_A0048 334.35  158.00 0.7657
C0190_A0048 344.55  194.00 0.7657
C0190_A0048 303.85  96.00 0.7985
C0190_A0048 314.05  140.00 0.7985
C0190_A0048 324.15  184.00 0.7985
C0190_A0048 334.35  225.00 0.7985
C0190_A0048 344.55  265.00 0.7985
C0190_A0048 303.85  109.00 0.8050
C0190_A0048 314.05  155.00 0.8050
C0190_A0048 324.15  199.00 0.8050
C0190_A0048 334.35  238.00 0.8050
C0190_A0048 344.55  278.00 0.8050
C0190_A0048 303.85  121.00 0.8117
C0190_A0048 314.05  170.00 0.8117
C0190_A0048 324.15  215.00 0.8117
C0190_A0048 334.35  255.00 0.8117
C0190_A0048 344.55  294.00 0.8117
C0190_A0048 303.85  133.00 0.8182
C0190_A0048 314.05  183.00 0.8182
C0190_A0048 324.15  229.00 0.8182
C0190_A0048 334.35  271.00 0.8182
C0190_A0048 344.55  313.00 0.8182
C0190_A0048 303.85  155.00 0.8239
C0190_A0048 314.05  203.00 0.8239
C0190_A0048 324.15  250.00 0.8239
C0190_A0048 334.35  294.00 0.8239
C0190_A0048 344.55  336.00 0.8239
C0190_A0048 303.85  204.00 0.8333
C0190_A0048 314.05  253.00 0.8333
C0190_A0048 324.15  302.00 0.8333
C0190_A0048 334.35  345.00 0.8333
C0190_A0048 344.55  390.00 0.8333
C0190_A0048 297.40  0.09 0.0060
C0190_A0048 297.40  0.49 0.0200
C0190_A0048 297.30  0.98 0.0370
C0190_A0048 297.40  3.94 0.1260
C0190_A0048 297.30  6.92 0.2030
C0190_A0048 297.40  9.89 0.2700
C0190_A0048 297.40  12.85 0.3260
C0190_A0048 297.30  14.82 0.3600
C0190_A0048 297.30  19.75 0.4330
C0190_A0048 298.15  20.15 0.3960
C0190_A0048 298.15  35.86 0.5920
C0190_A0048 298.15  64.89 0.7620
C0190_A0048 298.15  89.67 0.8000
C0190_A0048 298.15  103.21 0.8100
C0190_A0048 298.15  119.69 0.8190
C0190_A0048 298.15  135.25 0.8220
C0190_A0048 298.15  148.04 0.8230
C0190_A0048 323.15  8.00 0.1390
C0190_A0048 323.15  37.16 0.4870
C0190_A0048 323.15  54.30 0.5830
C0190_A0048 323.15  65.60 0.6370
C0190_A0048 323.15  80.39 0.6920
C0190_A0048 323.15  90.78 0.7260
C0190_A0048 323.15  99.69 0.7510
C0190_A0048 323.15  110.81 0.7690
C0190_A0048 323.15  122.24 0.7740
C0190_A0048 323.15  129.59 0.7790
C0190_A0048 343.15  17.93 0.1400
C0190_A0048 343.15  27.54 0.2390
C0190_A0048 343.15  55.37 0.4360
C0190_A0048 343.15  88.61 0.5960
C0190_A0048 343.15  115.60 0.6730
C0190_A0048 343.15  144.69 0.7210
C0190_A0048 343.15  198.18 0.7550
C0190_A0048 343.15  247.08 0.7710
C0190_A0048 285.86  4.22 0.1418
C0190_A0048 293.31  4.82 0.1418
C0190_A0048 300.82  5.47 0.1418
C0190_A0048 308.34  6.25 0.1418
C0190_A0048 315.82  6.97 0.1418
C0190_A0048 323.38  7.85 0.1418
C0190_A0048 330.82  8.80 0.1418
C0190_A0048 338.38  9.70 0.1418
C0190_A0048 345.81  10.66 0.1418
C0190_A0048 353.35  11.75 0.1418
C0190_A0048 360.82  12.70 0.1418
C0190_A0048 368.44  13.76 0.1418
C0190_A0048 293.15  4.80 0.1418
C0190_A0048 298.15  5.23 0.1418
C0190_A0048 313.15  6.72 0.1418
C0190_A0048 323.15  7.84 0.1418
C0190_A0048 333.15  9.06 0.1418
C0190_A0048 343.15  10.34 0.1418
C0190_A0048 353.15  11.67 0.1418
C0190_A0048 363.15  13.03 0.1418
C0190_A0048 285.61  7.24 0.2559
C0190_A0048 293.16  8.38 0.2559
C0190_A0048 300.73  9.69 0.2559
C0190_A0048 308.22  11.04 0.2559
C0190_A0048 315.68  12.49 0.2559
C0190_A0048 323.18  14.11 0.2559
C0190_A0048 330.68  15.73 0.2559
C0190_A0048 338.18  17.43 0.2559
C0190_A0048 345.70  19.28 0.2559
C0190_A0048 353.16  21.13 0.2559
C0190_A0048 360.65  23.03 0.2559
C0190_A0048 368.20  25.03 0.2559
C0190_A0048 293.15  8.39 0.2559
C0190_A0048 298.15  9.23 0.2559
C0190_A0048 313.15  12.00 0.2559
C0190_A0048 323.15  14.07 0.2559
C0190_A0048 333.15  16.29 0.2559
C0190_A0048 343.15  18.64 0.2559
C0190_A0048 353.15  21.11 0.2559
C0190_A0048 363.15  23.69 0.2559
C0190_A0048 285.83  9.09 0.3030
C0190_A0048 293.40  10.63 0.3030
C0190_A0048 300.87  12.29 0.3030
C0190_A0048 308.37  13.94 0.3030
C0190_A0048 315.93  15.84 0.3030
C0190_A0048 323.44  17.76 0.3030
C0190_A0048 330.92  19.88 0.3030
C0190_A0048 338.40  22.08 0.3030
C0190_A0048 345.89  24.38 0.3030
C0190_A0048 353.40  26.78 0.3030
C0190_A0048 360.83  29.23 0.3030
C0190_A0048 368.36  31.78 0.3030
C0190_A0048 293.15  10.57 0.3030
C0190_A0048 298.15  11.63 0.3030
C0190_A0048 313.15  15.13 0.3030
C0190_A0048 323.15  17.73 0.3030
C0190_A0048 333.15  20.53 0.3030
C0190_A0048 343.15  23.51 0.3030
C0190_A0048 353.15  26.67 0.3030
C0190_A0048 363.15  30.00 0.3030
C0190_A0048 278.12  13.93 0.4213
C0190_A0048 285.64  16.38 0.4213
C0190_A0048 293.16  19.11 0.4213
C0190_A0048 300.68  22.13 0.4213
C0190_A0048 308.20  25.33 0.4213
C0190_A0048 315.66  28.68 0.4213
C0190_A0048 323.14  32.36 0.4213
C0190_A0048 330.65  36.31 0.4213
C0190_A0048 338.19  40.46 0.4213
C0190_A0048 345.72  44.81 0.4213
C0190_A0048 353.19  49.26 0.4213
C0190_A0048 360.79  54.07 0.4213
C0190_A0048 368.20  58.87 0.4213
C0190_A0048 293.15  19.11 0.4213
C0190_A0048 298.15  21.06 0.4213
C0190_A0048 313.15  27.56 0.4213
C0190_A0048 323.15  32.41 0.4213
C0190_A0048 333.15  37.66 0.4213
C0190_A0048 343.15  43.28 0.4213
C0190_A0048 353.15  49.26 0.4213
C0190_A0048 363.15  55.57 0.4213
C0190_A0048 278.30  20.92 0.5505
C0190_A0048 280.90  22.20 0.5505
C0190_A0048 288.33  26.20 0.5505
C0190_A0048 295.88  30.80 0.5505
C0190_A0048 300.83  34.07 0.5505
C0190_A0048 308.37  39.47 0.5505
C0190_A0048 315.92  45.36 0.5505
C0190_A0048 323.42  51.71 0.5505
C0190_A0048 330.92  58.50 0.5505
C0190_A0048 338.32  65.55 0.5505
C0190_A0048 345.90  73.30 0.5505
C0190_A0048 353.39  81.25 0.5505
C0190_A0048 360.87  89.55 0.5505
C0190_A0048 368.40  98.15 0.5505
C0190_A0048 293.15  29.05 0.5505
C0190_A0048 298.15  32.24 0.5505
C0190_A0048 313.15  43.16 0.5505
C0190_A0048 323.15  51.49 0.5505
C0190_A0048 333.15  60.60 0.5505
C0190_A0048 343.15  70.44 0.5505
C0190_A0048 353.15  80.96 0.5505
C0190_A0048 363.15  92.11 0.5505
C0190_A0048 278.13  27.75 0.6485
C0190_A0048 285.64  33.30 0.6485
C0190_A0048 293.17  39.65 0.6485
C0190_A0048 300.69  46.80 0.6485
C0190_A0048 308.25  55.05 0.6485
C0190_A0048 315.71  64.04 0.6485
C0190_A0048 323.19  74.09 0.6485
C0190_A0048 330.64  84.99 0.6485
C0190_A0048 338.15  96.99 0.6485
C0190_A0048 345.69  109.99 0.6485
C0190_A0048 353.18  123.69 0.6485
C0190_A0048 360.66  138.19 0.6485
C0190_A0048 293.15  39.53 0.6485
C0190_A0048 298.15  44.25 0.6485
C0190_A0048 313.15  60.91 0.6485
C0190_A0048 323.15  74.09 0.6485
C0190_A0048 333.15  88.92 0.6485
C0190_A0048 343.15  105.42 0.6485
C0190_A0048 353.15  123.57 0.6485
C0190_A0048 363.15  143.37 0.6485
C0190_A0048 303.15  4.20 0.1650
C0190_A0048 313.15  5.80 0.1650
C0190_A0048 323.15  6.70 0.1650
C0190_A0048 333.15  8.00 0.1650
C0190_A0048 343.15  9.60 0.1650
C0190_A0048 353.15  10.90 0.1650
C0190_A0048 363.15  12.40 0.1650
C0190_A0048 373.15  13.80 0.1650
C0190_A0048 303.15  9.30 0.2650
C0190_A0048 313.15  11.60 0.2650
C0190_A0048 323.15  13.70 0.2650
C0190_A0048 333.15  16.10 0.2650
C0190_A0048 343.15  18.70 0.2650
C0190_A0048 353.15  20.20 0.2650
C0190_A0048 363.15  22.40 0.2650
C0190_A0048 373.15  25.40 0.2650
C0190_A0048 303.15  13.20 0.3380
C0190_A0048 313.15  17.80 0.3380
C0190_A0048 323.15  21.40 0.3380
C0190_A0048 333.15  24.40 0.3380
C0190_A0048 343.15  28.00 0.3380
C0190_A0048 353.15  30.70 0.3380
C0190_A0048 363.15  35.20 0.3380
C0190_A0048 373.15  37.80 0.3380
C0190_A0048 303.15  19.70 0.4230
C0190_A0048 313.15  24.60 0.4230
C0190_A0048 323.15  30.40 0.4230
C0190_A0048 333.15  35.60 0.4230
C0190_A0048 343.15  39.70 0.4230
C0190_A0048 353.15  44.10 0.4230
C0190_A0048 363.15  47.80 0.4230
C0190_A0048 373.15  52.40 0.4230
C0190_A0048 303.15  30.30 0.5450
C0190_A0048 313.15  41.50 0.5450
C0190_A0048 323.15  50.60 0.5450
C0190_A0048 333.15  60.70 0.5450
C0190_A0048 343.15  69.90 0.5450
C0190_A0048 353.15  79.00 0.5450
C0190_A0048 363.15  87.20 0.5450
C0190_A0048 373.15  96.30 0.5450
C0190_A0048 303.15  37.70 0.6390
C0190_A0048 313.15  55.40 0.6390
C0190_A0048 323.15  71.90 0.6390
C0190_A0048 333.15  84.80 0.6390
C0190_A0048 343.15  99.00 0.6390
C0190_A0048 353.15  114.20 0.6390
C0190_A0048 363.15  127.10 0.6390
C0190_A0048 373.15  143.30 0.6390
C0190_A0048 303.15  57.00 0.7210
C0190_A0048 313.15  82.40 0.7210
C0190_A0048 323.15  105.20 0.7210
C0190_A0048 333.15  134.70 0.7210
C0190_A0048 343.15  161.80 0.7210
C0190_A0048 353.15  193.70 0.7210
C0190_A0048 363.15  214.40 0.7210
C0190_A0048 373.15  242.90 0.7210
C0190_A0048 303.15  114.90 0.8240
C0190_A0048 313.15  182.70 0.8240
C0190_A0048 323.15  226.30 0.8240
C0190_A0048 333.15  278.00 0.8240
C0190_A0048 343.15  312.70 0.8240
C0190_A0048 353.15  366.30 0.8240
C0190_A0048 363.15  428.90 0.8240
C0190_A0048 373.15  452.80 0.8240
C0190_A0084 313.31  14.94 0.1950
C0190_A0084 313.23  28.31 0.4430
C0190_A0084 313.32  47.90 0.5370
C0190_A0084 313.31  56.30 0.5810
C0190_A0084 313.39  70.12 0.6240
C0190_A0084 313.30  84.23 0.6950
C0190_A0084 303.85  12.50 0.2885
C0190_A0084 303.85  17.00 0.3566
C0190_A0084 303.85  21.50 0.4162
C0190_A0084 303.85  27.00 0.4632
C0190_A0084 303.85  32.00 0.5329
C0190_A0084 303.85  40.00 0.5626
C0190_A0084 303.85  45.00 0.5895
C0190_A0084 303.85  49.00 0.6110
C0190_A0084 303.85  55.00 0.6236
C0190_A0084 303.85  60.00 0.6487
C0190_A0084 303.85  67.00 0.6668
C0190_A0084 303.85  85.00 0.6887
C0190_A0084 303.85  146.00 0.7059
C0190_A0084 303.85  180.00 0.7171
C0190_A0084 314.05  16.50 0.2885
C0190_A0084 314.05  21.00 0.3566
C0190_A0084 314.05  26.50 0.4162
C0190_A0084 314.05  32.00 0.4632
C0190_A0084 314.05  42.00 0.5329
C0190_A0084 314.05  50.00 0.5626
C0190_A0084 314.05  55.00 0.5895
C0190_A0084 314.05  62.00 0.6110
C0190_A0084 314.05  74.00 0.6236
C0190_A0084 314.05  92.00 0.6487
C0190_A0084 314.05  105.00 0.6668
C0190_A0084 314.05  140.00 0.6887
C0190_A0084 314.05  196.00 0.7059
C0190_A0084 314.05  233.00 0.7171
C0190_A0084 324.15  20.00 0.2885
C0190_A0084 324.15  27.00 0.3566
C0190_A0084 324.15  34.00 0.4162
C0190_A0084 324.15  40.00 0.4632
C0190_A0084 324.15  52.00 0.5329
C0190_A0084 324.15  65.00 0.5626
C0190_A0084 324.15  70.00 0.5895
C0190_A0084 324.15  80.00 0.6110
C0190_A0084 324.15  94.00 0.6236
C0190_A0084 324.15  125.00 0.6487
C0190_A0084 324.15  143.00 0.6668
C0190_A0084 324.15  190.00 0.6887
C0190_A0084 324.15  245.00 0.7059
C0190_A0084 324.15  282.00 0.7171
C0190_A0084 334.35  23.00 0.2885
C0190_A0084 334.35  33.00 0.3566
C0190_A0084 334.35  41.00 0.4162
C0190_A0084 334.35  48.50 0.4632
C0190_A0084 334.35  65.00 0.5329
C0190_A0084 334.35  78.00 0.5626
C0190_A0084 334.35  85.00 0.5895
C0190_A0084 334.35  98.00 0.6110
C0190_A0084 334.35  120.00 0.6236
C0190_A0084 334.35  158.00 0.6487
C0190_A0084 334.35  182.00 0.6668
C0190_A0084 334.35  235.00 0.6887
C0190_A0084 334.35  288.50 0.7059
C0190_A0084 334.35  324.00 0.7171
C0190_A0084 344.55  28.00 0.2885
C0190_A0084 344.55  39.00 0.3566
C0190_A0084 344.55  48.00 0.4162
C0190_A0084 344.55  58.00 0.4632
C0190_A0084 344.55  80.00 0.5329
C0190_A0084 344.55  95.00 0.5626
C0190_A0084 344.55  105.00 0.5895
C0190_A0084 344.55  119.00 0.6110
C0190_A0084 344.55  151.00 0.6236
C0190_A0084 344.55  189.00 0.6487
C0190_A0084 344.55  219.00 0.6668
C0190_A0084 344.55  280.00 0.6887
C0190_A0084 344.55  329.00 0.7059
C0190_A0084 344.55  363.00 0.7171
C0190_A0084 303.15  14.20 0.2670
C0190_A0084 313.15  17.60 0.2670
C0190_A0084 323.15  22.50 0.2670
C0190_A0084 333.15  26.50 0.2670
C0190_A0084 343.15  31.00 0.2670
C0190_A0084 353.15  36.60 0.2670
C0190_A0084 363.15  40.20 0.2670
C0190_A0084 373.15  44.60 0.2670
C0190_A0084 303.15  22.60 0.3450
C0190_A0084 313.15  29.50 0.3450
C0190_A0084 323.15  34.90 0.3450
C0190_A0084 333.15  41.00 0.3450
C0190_A0084 343.15  47.70 0.3450
C0190_A0084 353.15  53.30 0.3450
C0190_A0084 363.15  61.90 0.3450
C0190_A0084 373.15  66.00 0.3450
C0190_A0084 303.15  32.20 0.4390
C0190_A0084 313.15  40.60 0.4390
C0190_A0084 323.15  50.90 0.4390
C0190_A0084 333.15  59.90 0.4390
C0190_A0084 343.15  69.10 0.4390
C0190_A0084 353.15  79.00 0.4390
C0190_A0084 363.15  86.70 0.4390
C0190_A0084 373.15  95.40 0.4390
C0190_A0084 303.15  36.70 0.5045
C0190_A0084 313.15  53.30 0.5045
C0190_A0084 323.15  69.60 0.5045
C0190_A0084 333.15  73.10 0.5045
C0190_A0084 343.15  92.30 0.5045
C0190_A0084 353.15  105.90 0.5045
C0190_A0084 363.15  115.60 0.5045
C0190_A0084 373.15  123.60 0.5045
C0190_A0084 303.15  61.10 0.6370
C0190_A0084 313.15  88.30 0.6370
C0190_A0084 323.15  121.70 0.6370
C0190_A0084 333.15  161.80 0.6370
C0190_A0084 343.15  196.80 0.6370
C0190_A0084 353.15  235.50 0.6370
C0190_A0084 363.15  275.10 0.6370
C0190_A0084 373.15  301.40 0.6370
C0190_A0084 303.15  104.40 0.7070
C0190_A0084 313.15  172.40 0.7070
C0190_A0084 323.15  225.90 0.7070
C0190_A0084 333.15  272.40 0.7070
C0190_A0084 343.15  319.70 0.7070
C0190_A0084 353.15  355.10 0.7070
C0190_A0084 363.15  393.30 0.7070
C0190_A0084 373.15  438.20 0.7070
C0190_A0084 303.15  232.10 0.7440
C0190_A0084 313.15  298.50 0.7440
C0190_A0084 323.15  355.10 0.7440
C0190_A0084 333.15  412.70 0.7440
C0190_A0084 343.15  454.70 0.7440
C0190_A0084 353.15  507.60 0.7440
C0190_A0084 363.15  557.70 0.7440
C0190_A0084 373.15  607.40 0.7440
C0190_A0084 303.15  679.70 0.8160
C0190_A0084 313.15  739.50 0.8160
C0190_A0084 323.15  780.00 0.8160
C0190_A0084 333.15  817.30 0.8160
C0190_A0084 343.15  861.20 0.8160
C0190_A0084 353.15  898.90 0.8160
C0190_A0084 363.15  953.10 0.8160
C0190_A0084 373.15  1001.20 0.8160
C1036_A0048 298.20  14.97 0.3017
C1036_A0048 298.20  29.71 0.4956
C1036_A0048 298.20  43.08 0.6018
C1036_A0048 298.20  56.56 0.6845
C1036_A0048 313.30  18.33 0.2924
C1036_A0048 313.30  35.76 0.4630
C1036_A0048 313.30  53.14 0.5837
C1036_A0048 313.30  55.25 0.5663
C1036_A0048 313.30  63.45 0.6110
C1036_A0048 313.30  70.35 0.6612
C1036_A0048 313.30  77.14 0.6696
C1036_A0048 313.30  83.84 0.6807
C1036_A0048 313.30  87.22 0.6931
C1036_A0048 313.30  97.76 0.6963
C1036_A0048 313.30  111.02 0.7105
C1036_A0048 333.30  14.79 0.1991
C1036_A0048 333.30  18.37 0.2102
C1036_A0048 333.30  27.81 0.3339
C1036_A0048 333.30  34.55 0.3529
C1036_A0048 333.30  42.22 0.4354
C1036_A0048 333.30  49.22 0.4730
C1036_A0048 333.30  58.22 0.5237
C1036_A0048 333.30  63.41 0.5479
C1036_A0048 333.30  71.52 0.5840
C1036_A0048 333.30  76.95 0.6215
C1036_A0048 333.30  90.66 0.6869
C1036_A0048 333.30  91.67 0.6793
C1036_A0048 333.30  104.72 0.7231
C1036_A0048 333.30  118.04 0.7447
C1309_A0048 283.18  0.01 0.0002
C1309_A0048 283.18  0.05 0.0014
C1309_A0048 283.18  0.07 0.0098
C1309_A0048 283.18  0.10 0.0034
C1309_A0048 283.18  0.20 0.0250
C1309_A0048 283.18  0.50 0.0161
C1309_A0048 283.18  1.00 0.0344
C1309_A0048 283.18  2.00 0.0975
C1309_A0048 283.18  2.50 0.0842
C1309_A0048 283.18  4.00 0.1360
C1309_A0048 283.18  5.50 0.1860
C1309_A0048 283.18  6.00 0.2230
C1309_A0048 283.18  7.00 0.2310
C1309_A0048 283.18  8.51 0.2720
C1309_A0048 283.18  10.00 0.3100
C1309_A0048 283.18  11.00 0.3340
C1309_A0048 283.18  11.00 0.3410
C1309_A0048 283.18  12.00 0.3560
C1309_A0048 283.18  13.00 0.3760
C1309_A0048 283.18  13.00 0.3760
C1309_A0048 298.16  0.07 0.0017
C1309_A0048 298.16  0.10 0.0010
C1309_A0048 298.16  0.20 0.0096
C1309_A0048 298.16  0.50 0.0126
C1309_A0048 298.16  1.00 0.0281
C1309_A0048 298.16  2.00 0.0646
C1309_A0048 298.16  2.50 0.0697
C1309_A0048 298.16  4.00 0.1110
C1309_A0048 298.16  5.50 0.1500
C1309_A0048 298.16  6.00 0.1680
C1309_A0048 298.16  7.00 0.1860
C1309_A0048 298.16  8.50 0.2190
C1309_A0048 298.16  10.00 0.2490
C1309_A0048 298.16  11.00 0.2680
C1309_A0048 298.16  11.00 0.2720
C1309_A0048 298.16  12.00 0.2860
C1309_A0048 298.16  13.00 0.3040
C1309_A0048 298.16  13.00 0.3040
C1309_A0048 323.15  0.01 0.0001
C1309_A0048 323.15  0.05 0.0010
C1309_A0048 323.15  0.07 0.0008
C1309_A0048 323.15  0.10 0.0023
C1309_A0048 323.15  0.20 0.0040
C1309_A0048 323.15  0.50 0.0111
C1309_A0048 323.15  1.00 0.0221
C1309_A0048 323.15  2.00 0.0402
C1309_A0048 323.15  2.50 0.0520
C1309_A0048 323.15  4.00 0.0808
C1309_A0048 323.15  5.50 0.1090
C1309_A0048 323.15  6.00 0.1170
C1309_A0048 323.15  6.99 0.1350
C1309_A0048 323.15  8.50 0.1600
C1309_A0048 323.15  10.00 0.1820
C1309_A0048 323.15  11.00 0.1960
C1309_A0048 323.15  11.00 0.1970
C1309_A0048 323.15  12.00 0.2100
C1309_A0048 323.15  13.00 0.2230
C1309_A0048 323.15  13.00 0.2230
C0821_A0048 303.15  10.60 0.2778
C0821_A0048 313.15  12.90 0.2778
C0821_A0048 323.15  15.50 0.2778
C0821_A0048 333.15  17.30 0.2778
C0821_A0048 343.15  19.20 0.2778
C0821_A0048 353.15  22.20 0.2778
C0821_A0048 363.15  25.50 0.2778
C0821_A0048 373.15  28.70 0.2778
C0821_A0048 303.15  16.80 0.3827
C0821_A0048 313.15  20.70 0.3827
C0821_A0048 323.15  24.90 0.3827
C0821_A0048 333.15  28.60 0.3827
C0821_A0048 343.15  32.90 0.3827
C0821_A0048 353.15  37.20 0.3827
C0821_A0048 363.15  41.80 0.3827
C0821_A0048 373.15  46.20 0.3827
C0821_A0048 303.15  21.20 0.4416
C0821_A0048 313.15  25.90 0.4416
C0821_A0048 323.15  30.70 0.4416
C0821_A0048 333.15  35.80 0.4416
C0821_A0048 343.15  41.30 0.4416
C0821_A0048 353.15  46.70 0.4416
C0821_A0048 363.15  52.00 0.4416
C0821_A0048 373.15  58.30 0.4416
C0821_A0048 303.15  32.60 0.5699
C0821_A0048 313.15  39.20 0.5699
C0821_A0048 323.15  46.80 0.5699
C0821_A0048 333.15  55.90 0.5699
C0821_A0048 343.15  65.30 0.5699
C0821_A0048 353.15  75.20 0.5699
C0821_A0048 363.15  85.30 0.5699
C0821_A0048 373.15  96.20 0.5699
C0821_A0048 303.15  40.40 0.6138
C0821_A0048 313.15  48.80 0.6138
C0821_A0048 323.15  58.70 0.6138
C0821_A0048 333.15  69.60 0.6138
C0821_A0048 343.15  82.80 0.6138
C0821_A0048 353.15  95.50 0.6138
C0821_A0048 363.15  109.50 0.6138
C0821_A0048 373.15  122.80 0.6138
C0821_A0048 303.15  49.00 0.6797
C0821_A0048 313.15  61.00 0.6797
C0821_A0048 323.15  76.00 0.6797
C0821_A0048 333.15  92.60 0.6797
C0821_A0048 343.15  111.70 0.6797
C0821_A0048 353.15  133.40 0.6797
C0821_A0048 363.15  150.30 0.6797
C0821_A0048 373.15  170.60 0.6797
C0821_A0048 303.15  62.90 0.7478
C0821_A0048 313.15  91.20 0.7478
C0821_A0048 323.15  125.00 0.7478
C0821_A0048 333.15  160.00 0.7478
C0821_A0048 343.15  191.00 0.7478
C0821_A0048 353.15  226.70 0.7478
C0821_A0048 363.15  255.70 0.7478
C0821_A0048 373.15  280.00 0.7478
C0821_A0048 303.15  217.20 0.8105
C0821_A0048 313.15  260.00 0.8105
C0821_A0048 323.15  305.30 0.8105
C0821_A0048 333.15  347.30 0.8105
C0821_A0048 343.15  380.20 0.8105
C0821_A0048 353.15  415.60 0.8105
C0821_A0048 363.15  446.30 0.8105
C0821_A0048 373.15  475.50 0.8105
C1548_A0090 303.36  8.51 0.0528
C1548_A0090 313.36  10.21 0.0528
C1548_A0090 323.24  12.06 0.0528
C1548_A0090 333.60  14.16 0.0528
C1548_A0090 343.33  16.50 0.0528
C1548_A0090 353.34  19.20 0.0528
C1548_A0090 303.93  17.84 0.1004
C1548_A0090 314.59  21.40 0.1004
C1548_A0090 325.73  25.64 0.1004
C1548_A0090 338.60  31.84 0.1004
C1548_A0090 355.95  41.14 0.1004
C1548_A0090 363.55  46.09 0.1004
C1548_A0090 303.51  25.95 0.1433
C1548_A0090 313.43  31.65 0.1433
C1548_A0090 323.56  38.15 0.1433
C1548_A0090 333.27  44.85 0.1433
C1548_A0090 342.82  52.80 0.1433
C1548_A0090 353.38  62.05 0.1433
C1548_A0090 363.33  72.05 0.1433
C1548_A0090 303.63  39.21 0.2074
C1548_A0090 313.37  48.84 0.2074
C1548_A0090 323.43  61.10 0.2074
C1548_A0090 328.20  67.02 0.2074
C1548_A0090 333.43  74.15 0.2074
C1548_A0090 344.17  90.76 0.2074
C1548_A0090 353.42  106.47 0.2074
C1548_A0090 358.63  116.21 0.2074
C1548_A0090 303.39  55.45 0.2484
C1548_A0090 313.11  69.75 0.2484
C1548_A0090 318.42  79.15 0.2484
C1548_A0090 323.10  87.90 0.2484
C1548_A0090 328.42  100.15 0.2484
C1548_A0090 333.15  113.05 0.2484
C1548_A0090 293.47  59.76 0.3081
C1548_A0090 298.57  81.01 0.3081
C1548_A0090 300.86  99.25 0.3081
C1549_A0087 313.27  8.40 0.1570
C1549_A0087 323.40  12.30 0.1570
C1549_A0087 333.60  16.80 0.1570
C1549_A0087 313.12  17.32 0.2080
C1549_A0087 343.42  21.51 0.1570
C1549_A0087 323.33  21.94 0.2080
C1549_A0087 312.93  27.90 0.2490
C1549_A0087 353.25  26.82 0.1570
C1549_A0087 333.36  27.74 0.2080
C1549_A0087 363.20  33.57 0.1570
C1549_A0087 343.37  34.38 0.2080
C1549_A0087 323.22  35.71 0.2490
C1549_A0087 313.28  39.03 0.2990
C1549_A0087 333.16  42.25 0.2490
C1549_A0087 353.28  41.87 0.2080
C1549_A0087 323.37  48.65 0.2990
C1549_A0087 343.06  50.27 0.2490
C1549_A0087 362.62  49.10 0.2080
C1549_A0087 333.59  60.70 0.2990
C1549_A0087 353.31  62.35 0.2490
C1549_A0087 313.26  74.98 0.4020
C1549_A0087 343.37  74.21 0.2990
C1549_A0087 363.48  77.94 0.2490
C1549_A0087 323.21  105.90 0.4020
C1549_A0087 353.44  89.23 0.2990
C1549_A0087 313.02  194.75 0.4520
C1549_A0087 363.27  105.16 0.2990
C1549_A0087 333.23  148.72 0.4020
C1549_A0087 323.16  263.93 0.4520
C1549_A0087 343.25  194.05 0.4020
C1549_A0087 313.09  465.87 0.5000
C1549_A0087 333.33  330.02 0.4520
