unique_ID,SMILES,InChI,pka_type,pka_value,T,remarks,method,assessment,ref,ref_remarks,entry_remarks,original_IUPAC_names,name_contributors,num_name_contributors,original_IUPAC_nicknames,source,pressure,acidity_label,original_T,cosolvent
perrin2111,Cc1nc2c(N)cccc2[nH]1,"InChI=1S/C8H9N3/c1-5-10-7-4-2-3-6(9)8(7)11-5/h2-4H,9H2,1H3,(H,10,11)",pkb1,8.1,,,E,,E13,,,"benzimidazole, 4-amino-2-methyl-",['manual_inconsistent'],1,,perrin,,B,,
perrin2111,Cc1nc2c(N)cccc2[nH]1,"InChI=1S/C8H9N3/c1-5-10-7-4-2-3-6(9)8(7)11-5/h2-4H,9H2,1H3,(H,10,11)",pkb2,12.3,,,E,,E13,,,"benzimidazole, 4-amino-2-methyl-",['manual_inconsistent'],1,,perrin,,B,,
perrin2114,Cc1nc2cc(N)ccc2[nH]1,"InChI=1S/C8H9N3/c1-5-10-7-3-2-6(9)4-8(7)11-5/h2-4H,9H2,1H3,(H,10,11)",pkb1,7.1,,"C=0.005, as dihydrochloride",E,,E14,,,"benzimidazole, 5-amino-2-methyl-",['manual_inconsistent'],1,,perrin,,B,,
perrin2114,Cc1nc2cc(N)ccc2[nH]1,"InChI=1S/C8H9N3/c1-5-10-7-3-2-6(9)4-8(7)11-5/h2-4H,9H2,1H3,(H,10,11)",pkb2,11.2,,"C=0.005, as dihydrochloride",E,,E14,,,"benzimidazole, 5-amino-2-methyl-",['manual_inconsistent'],1,,perrin,,B,,
perrin2119,c1ccc(Cc2nc3ccccc3[nH]2)cc1,"InChI=1S/C14H12N2/c1-2-6-11(7-3-1)10-14-15-12-8-4-5-9-13(12)16-14/h1-9H,10H2,(H,15,16)",pkb1,8.9,,,E,,E15,,,"benzimidazole, 2-benzyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,B,,
perrin2120,Cc1ccc2nc(Cc3ccccc3)[nH]c2c1,"InChI=1S/C15H14N2/c1-11-7-8-13-14(9-11)17-15(16-13)10-12-5-3-2-4-6-12/h2-9H,10H2,1H3,(H,16,17)",pkb1,8,,,E,,E15,,,"benzimidazole, 2-benzyl-6-methyl-",['manual_inconsistent'],1,,perrin,,B,,
perrin2122,Clc1nc2ccccc2[nH]1,"InChI=1S/C7H5ClN2/c8-7-9-5-3-1-2-4-6(5)10-7/h1-4H,(H,9,10)",pkb1,11.4,9.6,,E,,E15,,,"benzimidazole, 2-chloro-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,B,,
perrin2124,N#CCCn1cnc2ccccc21,"InChI=1S/C10H9N3/c11-6-3-7-13-8-12-9-4-1-2-5-10(9)13/h1-2,4-5,8H,3,7H2",pkb,9.7,,,E,,E15,,,"benzimidazole, 1-cyanoethyl-","['OPSIN_name1', 'manual_only_one']",2,,perrin,,B,,
perrin2125,Cc1nc2ccccc2n1CCC#N,"InChI=1S/C11H11N3/c1-9-13-10-5-2-3-6-11(10)14(9)8-4-7-12/h2-3,5-6H,4,8H2,1H3",pkb,8.3,,,E,,E15,,,"benzimidazole, 1-cyanoethyl-2-methyl-","['OPSIN_name1', 'manual_only_one']",2,,perrin,,B,,
perrin2126,Cc1nc2cc(N)c(N)cc2[nH]1,"InChI=1S/C8H10N4/c1-4-11-7-2-5(9)6(10)3-8(7)12-4/h2-3H,9-10H2,1H3,(H,11,12)",pkb1,11.9,,,E,,E15,,,"benzimidazole, 5,6-diamino-2-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,B,,
perrin2126,Cc1nc2cc(N)c(N)cc2[nH]1,"InChI=1S/C8H10N4/c1-4-11-7-2-5(9)6(10)3-8(7)12-4/h2-3H,9-10H2,1H3,(H,11,12)",pkb2,10.7,,,E,,E15,,,"benzimidazole, 5,6-diamino-2-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,B,,
perrin2126,Cc1nc2cc(N)c(N)cc2[nH]1,"InChI=1S/C8H10N4/c1-4-11-7-2-5(9)6(10)3-8(7)12-4/h2-3H,9-10H2,1H3,(H,11,12)",pkb3,6.5,,,E,,E15,,,"benzimidazole, 5,6-diamino-2-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,B,,
perrin2127,CCN(CC)CCc1nc2ccccc2[nH]1,"InChI=1S/C13H19N3/c1-3-16(4-2)10-9-13-14-11-7-5-6-8-12(11)15-13/h5-8H,3-4,9-10H2,1-2H3,(H,14,15)",pkb1,11.3,,,E,,E15,,,"benzimidazole, 2-diethylaminoethyl-","['OPSIN_name1', 'manual_only_one']",2,,perrin,,B,,
perrin2127,CCN(CC)CCc1nc2ccccc2[nH]1,"InChI=1S/C13H19N3/c1-3-16(4-2)10-9-13-14-11-7-5-6-8-12(11)15-13/h5-8H,3-4,9-10H2,1-2H3,(H,14,15)",pkb2,6.2,,,E,,E15,,,"benzimidazole, 2-diethylaminoethyl-","['OPSIN_name1', 'manual_only_one']",2,,perrin,,B,,
perrin2129,Cc1ccc2nc(C)[nH]c2c1,"InChI=1S/C9H10N2/c1-6-3-4-8-9(5-6)11-7(2)10-8/h3-5H,1-2H3,(H,10,11)",pkb1,8,,,E,,E15,,,"benzimidazole, 2,6-dimethyl-",['manual_inconsistent'],1,,perrin,,B,,
perrin2131,CN(C)c1nc2ccccc2[nH]1,"InChI=1S/C9H11N3/c1-12(2)9-10-7-5-3-4-6-8(7)11-9/h3-6H,1-2H3,(H,10,11)",pkb1,6.6,,,E,,E15,,,"benzimidazole, 2-dimethylamino-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,B,,
perrin2140,Oc1nc2ccccc2[nH]1,"InChI=1S/C7H6N2O/c10-7-8-5-3-1-2-4-6(5)9-7/h1-4H,(H2,8,9,10)",pkb1,11.6,,C=5x10-5,E,,E15,,,"benzimidazole, 2-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,B,,
perrin2143,OCc1nc2ccccc2[nH]1,"InChI=1S/C8H8N2O/c11-5-8-9-6-3-1-2-4-7(6)10-8/h1-4,11H,5H2,(H,9,10)",pkb1,8.4,,"I=0.16(NaNO3), fH+ assumed equal to 0.81",E,,E15,,,"benzimidazole, 2-hydroxymethyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,B,,
perrin2147,COC(=O)Cc1nc2ccccc2[nH]1,"InChI=1S/C10H10N2O2/c1-14-10(13)6-9-11-7-4-2-3-5-8(7)12-9/h2-5H,6H2,1H3,(H,11,12)",pkb1,9.4,,,E,,E15,,,"benzimidazole, 2-methoxycarbonylmethyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,B,,
perrin2149,Cc1nc2ccccc2[nH]1,"InChI=1S/C8H8N2/c1-6-9-7-4-2-3-5-8(7)10-6/h2-5H,1H3,(H,9,10)",pkb1,8.3,,C=0.002,E,,E15,,,"benzimidazole, 2-methyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,B,,
perrin2152,Cc1nc2cc([N+](=O)[O-])c([N+](=O)[O-])cc2[nH]1,"InChI=1S/C8H6N4O4/c1-4-9-5-2-7(11(13)14)8(12(15)16)3-6(5)10-4/h2-3H,1H3,(H,9,10)",pkb2,11.2,,,E,,E15,,,"benzimidazole, 2-methyl-5,6-dinitro-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,B,,
perrin2157,Cc1nc2cc([N+](=O)[O-])ccc2[nH]1,"InChI=1S/C8H7N3O2/c1-5-9-7-3-2-6(11(12)13)4-8(7)10-5/h2-4H,1H3,(H,9,10)",pkb1,9.7,,"In mono-, di-, and tri-chloroacetate buffers",E,,E15,," Note from transcription: Naming for “Benzimidazole, 2-methyl-5-(or 6)-nitro-”","benzimidazole, 2-methyl-5(6)-nitro-","['chemaxon_name1', 'manual_only_one']",2,,perrin,,B,,
perrin2160,O=[N+]([O-])c1ccc2[nH]cnc2c1,"InChI=1S/C7H5N3O2/c11-10(12)5-1-2-6-7(3-5)9-4-8-6/h1-4H,(H,8,9)",pkb1,10,,"In mono-, di-, and tri-chloroacetate buffers",E,,E15,," Note from transcription: Naming for “Benzimidazole, 5(6)-nitro-”","benzimidazole, 5(6)-nitro-","['chemaxon_name1', 'manual_only_one']",2,,perrin,,B,,
perrin2162,c1ccc(CCc2nc3ccccc3[nH]2)cc1,"InChI=1S/C15H14N2/c1-2-6-12(7-3-1)10-11-15-16-13-8-4-5-9-14(13)17-15/h1-9H,10-11H2,(H,16,17)",pkb1,7.9,,,E,,E15,,,"benzimidazole, 2-phenethyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,B,,
perrin2163,c1ccc(-c2nc3ccccc3[nH]2)cc1,"InChI=1S/C13H10N2/c1-2-6-10(7-3-1)13-14-11-8-4-5-9-12(11)15-13/h1-9H,(H,14,15)",pkb1,9.2,,From hydrolytic equilibria,E,,E15,,,"benzimidazole, 2-phenyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,B,,
perrin2164,C(#Cc1nc2ccccc2[nH]1)c1ccccc1,"InChI=1S/C15H10N2/c1-2-6-12(7-3-1)10-11-15-16-13-8-4-5-9-14(13)17-15/h1-9H,(H,16,17)",pkb1,8.8,,,E,,E15,,,"benzimidazole, 2-phenylethynyl-","['OPSIN_name1', 'manual_only_one']",2,,perrin,,B,,
perrin2166,c1cncc(-c2nc3ccccc3[nH]2)c1,"InChI=1S/C12H9N3/c1-2-6-11-10(5-1)14-12(15-11)9-4-3-7-13-8-9/h1-8H,(H,14,15)",pkb1,12,,,E,,E15,,,"benzimidazole, 2-(3-pyridyl)-","['OPSIN_name1', 'chemaxon_name1', 'pubchem_name1', 'pubchem_nickname']",4,,perrin,,B,,
perrin2166,c1cncc(-c2nc3ccccc3[nH]2)c1,"InChI=1S/C12H9N3/c1-2-6-11-10(5-1)14-12(15-11)9-4-3-7-13-8-9/h1-8H,(H,14,15)",pkb2,11.3,,,E,,E15,,,"benzimidazole, 2-(3-pyridyl)-","['OPSIN_name1', 'chemaxon_name1', 'pubchem_name1', 'pubchem_nickname']",4,,perrin,,B,,
perrin2215,C1CN2CCCN2C1,InChI=1S/C6H12N2/c1-3-7-5-2-6-8(7)4-1/h1-6H2,pkb,6,not_stated,,E3bg,Uncertain,B147,,,"3a,6a-Diazaoctahydropentalene","['chemaxon_name1', 'manual_only_one']",2,,perrin,,B,,
perrin2875,CN1Cc2c(ccc3c2OCO3)[C@@H]2[C@H]1c1cc3c(cc1C[C@@H]2O)OCO3,"InChI=1S/C20H19NO5/c1-21-7-13-11(2-3-15-20(13)26-9-23-15)18-14(22)4-10-5-16-17(25-8-24-16)6-12(10)19(18)21/h2-3,5-6,14,18-19,22H,4,7-9H2,1H3/t14-,18-,19+/m0/s1",pkb,10.42,not_stated,Chromatography on buffered paper,,Uncertain,D20,,,Chelidonine,"['chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",4,,perrin,,B,,
perrin2926,CNCC/C=C/c1cccnc1,"InChI=1S/C10H14N2/c1-11-7-3-2-5-10-6-4-8-12-9-10/h2,4-6,8-9,11H,3,7H2,1H3/b5-2+",pkb,4.05,,No details of temp. or concn,"E, h",Uncertain,C53,,,Metanicotine,"['cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",3,,perrin,,B,,
perrin2933,CN1CCC[C@H]1c1cccnc1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",pkb,6.05,,No details,"E, h",Uncertain,C53,," Other measurements: B6, K48",Nicotine,"['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,B,,
perrin2942,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,"InChI=1S/C20H21NO4/c1-22-17-6-5-13(10-18(17)23-2)9-16-15-12-20(25-4)19(24-3)11-14(15)7-8-21-16/h5-8,10-12H,9H2,1-4H3",pkb,8,,C=0.0006 to 0.003,,,Z1,,,Papaverine,"['chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",4,,perrin,,B,,
perrin2953,CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3,"InChI=1S/C20H19NO5/c1-21-5-4-13-7-18-19(25-10-24-18)8-14(13)16(22)6-12-2-3-17-20(15(12)9-21)26-11-23-17/h2-3,7-8H,4-6,9-11H2,1H3",pkb,8.01,not_stated,Chromatography on buffered paper,,Uncertain,D20,,,Protopine,['manual_inconsistent'],1,,perrin,,B,,
perrin2958,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,"InChI=1S/C20H24N2O2/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3/t13-,14-,19-,20+/m0/s1",pkb2,9.4,not_stated,"C=3x10-4, pH-dependence of fluorescence intensity",,Uncertain,E19,,,Quinine,['manual_inconsistent'],1,,perrin,,B,,
perrin3123,CCNCC(=O)N(CC)CC,"InChI=1S/C8H18N2O/c1-4-9-7-8(11)10(5-2)6-3/h9H,4-7H2,1-3H3",pkb,5.22,26,No details,E3b,Uncertain,B97,,,N-Ethylglycine diethylamide,"['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,B,,
perrin3126,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",pkb(2nd-conjugate),3.78,78,C=0.04,Kin,Uncertain,W41,, Other measurement H34,L-Glutamic acid,"['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,B,,
perrin3126,N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",pkb(2nd-conjugate),3.81,118,C=0.04,Kin,Uncertain,W41,, Other measurement H34,L-Glutamic acid,"['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,B,,
perrin3334,Cc1ncc(CO)c(CO)c1O,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",pkb,9.21,,No details,,Uncertain,S81,,,Pyridoxine,"['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5,,perrin,,B,,
perrin3761,CN(C)N(C)C,InChI=1S/C4H12N2/c1-5(2)6(3)4/h1-4H3,pkb,7.7,not_stated,No details,E3b,Uncertain,C39,,,"hydrazine, tetramethyl-","['OPSIN_name1', 'pubchem_name1', 'pubchem_nickname']",3,,perrin,,B,,
perrin3762,CNN(C)C,"InChI=1S/C3H10N2/c1-4-5(2)3/h4H,1-3H3",pkb,7.22,not_stated,No details,E3b,Uncertain,C39,,,"hydrazine, trimethyl-","['OPSIN_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",4,,perrin,,B,,
perrin3766,CC(C)N1CC[Si](C)(C)O[Si](C)(C)C1,"InChI=1S/C10H25NOSi2/c1-10(2)11-7-8-13(3,4)12-14(5,6)9-11/h10H,7-9H2,1-6H3",pkb,Room temp.,Few details,,E3bg,Uncertain,N28,,,"1,4,2,6-Oxazadisilacyclohexane, 2,2,6,6-tetramethyl-4-isopropyl-",['manual_no_smiles'],1,,perrin,,B,,
perrin_supp4009,NCCCl,"InChI=1S/C2H6ClN/c3-1-2-4/h1-2,4H2",pkb,5.44,21,,E3bg,Approximate,R19,,,"ethane, 1-amino-2-chloro-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp4024,NCC(Cl)(Cl)Cl,"InChI=1S/C2H4Cl3N/c3-2(4,5)1-6/h1,6H2",pkb,8.74,20,,E3bg,Approximate,R19,,,"ethane, 1-amino-2,2,2-trichloro-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp4025,NCC(F)(F)F,"InChI=1S/C2H4F3N/c3-2(4,5)1-6/h1,6H2",pkb,8.4,25,C=0.05M,E3bg,Approximate,R19,,,"ethane, 1-amino-2,2,2-trifluoro-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp4102,NCC(Cl)(Cl)C(Cl)(Cl)Cl,"InChI=1S/C3H4Cl5N/c4-2(5,1-9)3(6,7)8/h1,9H2",pkb,7.42,23,,E3bg,Approximate,R19,,,"propane, 1-amino-2,2,3,3,3-pentachloro-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp4104,NCC(Cl)(Cl)CCl,"InChI=1S/C3H6Cl3N/c4-1-3(5,6)2-7/h1-2,7H2",pkb,8,23,,E3bg,Approximate,R19,,,"propane, 1-amino-2,2,3-trichloro-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
perrin_supp4138,NCC(Cl)=C(Cl)Cl,"InChI=1S/C3H4Cl3N/c4-2(1-7)3(5)6/h1,7H2",pkb,6.72,22,,E3bg,Approximate,R19,,,"prop-2-ene, 1-amino-2,3,3-trichloro-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,B,,
