solvent_id,temperature_k,pressure_bar,co2_solubility_mol_frac,cation_code,anion_code,ln_pressure_bar,ln_co2_solubility,cation_smiles,anion_smiles,source_record,source_file
C1006_A0054,332.65,20.0,0.1389,C1006,A0054,2.995732273553991,-1.974001029221839,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,342.25,21.5,0.1389,C1006,A0054,3.068052935133617,-1.974001029221839,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,297.05,22.5,0.2861,C1006,A0054,3.1135153092103742,-1.2514138789260725,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,304.15,25.0,0.2861,C1006,A0054,3.2188758248682006,-1.2514138789260725,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,313.85,28.5,0.2861,C1006,A0054,3.349904087274605,-1.2514138789260725,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,323.45,32.0,0.2861,C1006,A0054,3.4657359027997265,-1.2514138789260725,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,333.05,35.5,0.2861,C1006,A0054,3.56953269648137,-1.2514138789260725,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,343.35,39.5,0.2861,C1006,A0054,3.676300671907076,-1.2514138789260725,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,297.25,31.0,0.4085,C1006,A0054,3.4339872044851463,-0.8952633646820796,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,304.45,34.5,0.4085,C1006,A0054,3.5409593240373143,-0.8952633646820796,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,313.95,40.0,0.4085,C1006,A0054,3.6888794541139363,-0.8952633646820796,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,323.75,46.0,0.4085,C1006,A0054,3.828641396489095,-0.8952633646820796,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,334.15,53.0,0.4085,C1006,A0054,3.970291913552122,-0.8952633646820796,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,343.35,58.5,0.4085,C1006,A0054,4.069026754237811,-0.8952633646820796,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,297.25,39.0,0.5112,C1006,A0054,3.6635616461296463,-0.6709943759188121,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,304.25,44.5,0.5112,C1006,A0054,3.7954891891721947,-0.6709943759188121,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,314.15,53.0,0.5112,C1006,A0054,3.970291913552122,-0.6709943759188121,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,323.45,61.0,0.5112,C1006,A0054,4.110873864173311,-0.6709943759188121,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,332.85,70.0,0.5112,C1006,A0054,4.248495242049359,-0.6709943759188121,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,342.05,79.5,0.5112,C1006,A0054,4.375757021660286,-0.6709943759188121,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,297.65,45.5,0.5695,C1006,A0054,3.817712325956905,-0.5629964960949002,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,304.05,52.0,0.5695,C1006,A0054,3.9512437185814275,-0.5629964960949002,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,313.55,61.5,0.5695,C1006,A0054,4.119037174812473,-0.5629964960949002,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,322.95,72.5,0.5695,C1006,A0054,4.283586561860629,-0.5629964960949002,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,333.15,84.5,0.5695,C1006,A0054,4.436751534363128,-0.5629964960949002,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,341.45,95.5,0.5695,C1006,A0054,4.5591262474866845,-0.5629964960949002,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,298.15,51.0,0.6161,C1006,A0054,3.9318256327243257,-0.48434599096161207,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,303.75,57.5,0.6161,C1006,A0054,4.051784947803305,-0.48434599096161207,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,313.65,69.5,0.6161,C1006,A0054,4.241326752570746,-0.48434599096161207,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,323.55,83.0,0.6161,C1006,A0054,4.418840607796598,-0.48434599096161207,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,332.75,97.0,0.6161,C1006,A0054,4.574710978503383,-0.48434599096161207,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,342.85,113.0,0.6161,C1006,A0054,4.727387818712341,-0.48434599096161207,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,297.75,54.0,0.6494,C1006,A0054,3.9889840465642745,-0.4317064193133915,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,305.25,63.5,0.6494,C1006,A0054,4.151039905898646,-0.4317064193133915,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,312.95,74.0,0.6494,C1006,A0054,4.30406509320417,-0.4317064193133915,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,323.05,90.5,0.6494,C1006,A0054,4.505349850705881,-0.4317064193133915,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,332.55,107.5,0.6494,C1006,A0054,4.677490847567717,-0.4317064193133915,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,342.95,127.5,0.6494,C1006,A0054,4.848116364598481,-0.4317064193133915,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,297.75,57.0,0.6814,C1006,A0054,4.04305126783455,-0.38360577375527083,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,305.25,67.5,0.6814,C1006,A0054,4.212127597878484,-0.38360577375527083,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,312.95,80.5,0.6814,C1006,A0054,4.388257184424518,-0.38360577375527083,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,321.85,97.5,0.6814,C1006,A0054,4.579852378003801,-0.38360577375527083,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
