il_no,solvent_id,ln_co2_solubility_exp,ln_pressure_mpa,temperature_k,b01_c_c,b03_o_o,b04_n_o,f02_c_c,f04_n_o,h_050,h_053,n_074,ncconj,arr_anion,b02_c_n_anion,b03_n_o_anion,c_025_anion,f03_n_o_anion,f05_n_o_anion,f06_o_o_anion,h_051_anion,nbo_anion,reference,pressure_mpa,co2_solubility_mol_frac,source_sheet,source_file
IL2,[BzMIM][TFES],-1.1874435023747254,1.790091412,353.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],5.989999999237126,0.305,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.1874435023747254,1.891604804,363.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],6.629999998688777,0.305,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.1874435023747254,1.974081026,373.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],7.19999999984153,0.305,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.0613165039244128,1.609437912,323.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],4.999999997829498,0.34600000000000003,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.0613165039244128,1.745715531,333.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],5.730000001566307,0.34600000000000003,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.0613165039244128,1.870262531,343.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],6.490000001843169,0.34600000000000003,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.0613165039244128,1.987874348,353.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],7.299999998873279,0.34600000000000003,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.0613165039244128,2.089391873,363.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],8.080000003773327,0.34600000000000003,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-1.0613165039244128,2.188295947,373.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],8.92000000364009,0.34600000000000003,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.9441759353636907,1.785070481,323.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],5.95999999953954,0.389,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
