scope,task,model,n,r2,r2_lo,r2_hi,rmse,rmse_lo,rmse_hi,spearman,spearman_lo,spearman_hi,cv_r2_mean,cv_r2_se,set
external_set,acidic,lightgbm,20,-0.22754450996291253,-1.4397441089887357,0.29617987923303396,2.6025106213599893,1.8567166120643115,3.2589118119622205,0.2421963315316845,-0.2328495451619933,0.604493062678028,,,SAMPL7_acidic
external_set,acidic,random_forest,20,0.07589020131513835,-0.6493926333259414,0.2968011483870804,2.258061021721918,1.8809586930211661,2.6108754872876707,0.5994735286669334,0.21036585365853658,0.8042490768482562,,,SAMPL7_acidic
external_set,acidic,y_random_lightgbm,20,-0.8026093932677563,-2.7681636035881243,-0.1295392135483321,3.1537313943015155,2.450889096133202,3.75090687753116,0.06919895186619557,-0.42489622032686236,0.5163547761430884,,,SAMPL7_acidic
external_pooled,acidic,qlattice,158,0.33606472998003345,0.2054192161713645,0.44783378150458586,2.147010712954609,1.9017468946909777,2.374596685878673,0.5746594678085476,0.45765099473089377,0.6701913708117495,,,POOLED
external_pooled,acidic,lightgbm,158,0.4895051005422254,0.3372583571706518,0.6119916130921457,1.8826389734639535,1.6261814117087874,2.132222149857727,0.7065217653430584,0.6113130373276728,0.7806939652911642,,,POOLED
external_pooled,acidic,random_forest,158,0.4383829972358205,0.22046131413778644,0.6013675894355673,1.9746560723845674,1.6573711579982084,2.2955463401124643,0.7703292957465524,0.689585967642143,0.8304560438672728,,,POOLED
external_pooled,acidic,y_random_lightgbm,158,-0.19131306567683226,-0.37469952192765427,-0.05861278621906287,2.875969618131218,2.6565312741463036,3.08060701023048,0.05119619309641027,-0.10035190114036385,0.19610274174657838,,,POOLED
external_set,basic,qlattice,168,-0.21874618879087349,-0.45908719179123036,-0.024630276400831614,2.3411103445673285,2.1085693625236037,2.572563578549102,0.30102957376048567,0.16464413817553478,0.42760037086355757,,,novartis_basic
external_set,basic,lightgbm,168,0.5780685055221744,0.46119877096957995,0.667101231825391,1.377482913838053,1.2194446802372352,1.5423386460901047,0.7231574420028734,0.6311946584619195,0.7905977839913002,,,novartis_basic
external_set,basic,random_forest,168,0.6078428526500586,0.4789127324613486,0.6987160107996463,1.3279915635011987,1.1600574199424332,1.5215149798422871,0.7093015817964871,0.6072487560199515,0.7817260165325368,,,novartis_basic
external_set,basic,y_random_lightgbm,168,-0.1702930495307735,-0.34037178086079534,-0.02571940160401867,2.2941011442805928,2.082339926512948,2.499961180909728,0.07408987142327896,-0.07644112576679422,0.22546107971684898,,,novartis_basic
external_set,basic,qlattice,97,-3.6473506293523794,-7.793059274168725,-1.7013901421848874,3.0838477107775297,2.684054943666543,3.4746693510125204,0.269750669424912,0.040932248123992286,0.47373147114832403,,,AvLiLuMoVe_123_basic
external_set,basic,lightgbm,97,0.39862287535269014,0.22914451319796938,0.5209455367028151,1.1093374009629933,0.8388046869991445,1.4049455273861102,0.6753811815342117,0.5301638064091881,0.78587202261189,,,AvLiLuMoVe_123_basic
external_set,basic,random_forest,97,0.17917733964083526,-0.15183008261547465,0.33602314279319084,1.296029455087041,1.070256282595278,1.5547083768965781,0.5686877418603153,0.388442248545848,0.7138147783296583,,,AvLiLuMoVe_123_basic
external_set,basic,y_random_lightgbm,97,-2.6988099963177037,-5.836133108701944,-1.2858753378214056,2.7511939928320372,2.4544224573737647,3.0422313896590953,0.22218532630882357,0.025786494849472083,0.4082639839756698,,,AvLiLuMoVe_123_basic
external_pooled,basic,qlattice,265,-0.3767723591194161,-0.6795113734486435,-0.13636379260698417,2.637362407857677,2.415277442964481,2.8507603249019304,0.41690319096200856,0.3055398838119325,0.5203393138769119,,,POOLED
external_pooled,basic,lightgbm,265,0.6727394103509561,0.5932936116463364,0.7368547170929513,1.285836047531541,1.1491015809507796,1.435267987528452,0.8166396909691167,0.7700884356473867,0.850797227628858,,,POOLED
